date,O3,NO,NO2,NOXasNO2,site,code
2018-03-31,81.01295,0.28481,2.73086,3.16756,High Muffles,HM
2018-04-01,95.39723,0.31211,0.8629,1.34147,High Muffles,HM
2018-04-02,72.47094,0.37549,5.6299,6.20565,High Muffles,HM
2018-04-03,62.21318,0.74569,8.36334,9.50671,High Muffles,HM
2018-04-04,75.83244,0.63079,6.14115,7.10835,High Muffles,HM
2018-04-05,79.18771,0.48811,3.33466,4.08309,High Muffles,HM
2018-04-06,63.90259,1.03306,12.0699,13.65391,High Muffles,HM
2018-04-07,61.49458,0.8485,13.02533,14.32634,High Muffles,HM
2018-04-08,71.19175,0.65476,5.1866,6.19056,High Muffles,HM
2018-04-09,78.78649,0.60513,3.76562,4.69347,High Muffles,HM
2018-04-10,74.69808,0.43961,6.18665,6.8607,High Muffles,HM
2018-04-11,87.61955,0.35845,3.71648,4.26609,High Muffles,HM
2018-04-12,83.71407,0.3439,3.59715,4.12446,High Muffles,HM
2018-04-13,62.81882,0.62193,10.31219,11.2658,High Muffles,HM
2018-04-14,71.62346,0.72904,8.69568,9.81353,High Muffles,HM
2018-04-15,83.78129,0.4814,12.10508,12.84322,High Muffles,HM
2018-04-16,80.2216,0.80136,9.98474,11.21348,High Muffles,HM
2018-04-17,83.3177,0.61949,8.09135,9.04122,High Muffles,HM
2018-04-18,78.45942,0.7453,7.10499,8.24777,High Muffles,HM
2018-04-19,103.07513,0.85779,11.19718,12.51244,High Muffles,HM
2018-04-20,84.66757,0.73276,6.63859,7.76214,High Muffles,HM
2018-04-21,95.41594,0.71656,7.04236,8.14108,High Muffles,HM
2018-04-22,85.45269,0.82474,8.01847,9.28305,High Muffles,HM
2018-04-23,87.20793,0.66111,5.22215,6.23584,High Muffles,HM
2018-04-24,83.79584,0.65206,2.79715,3.79696,High Muffles,HM
2018-04-25,87.85584,0.64661,2.18375,3.1752,High Muffles,HM
2018-04-26,88.78232,0.45002,2.3327,3.02273,High Muffles,HM
